SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,11725 Dry River Ct,Reston,VA,20191,560000,3,3.5,RESTON SEC 48 GLADE COUR,1936,1540,1980,5,289,136,Active,,,http://www.redfin.com/VA/Reston/11725-Dry-River-Ct-20191/home/9335765,BRIGHT MLS,VAFX2007608,N,Y,38.9308562,-77.351712
Redfin Data,,Single Family Residential,2639 Steeplechase Dr,Reston,VA,20191,899000,6,3.5,Reston,3000,27007,1971,1,300,59,Pre On-Market,,,http://www.redfin.com/VA/Reston/2639-Steeplechase-Dr-20191/home/9346384,Coming Soon,74201,N,Y,38.9178662,-77.3657976
Redfin Data,,Condo/Co-op,11713B Karbon Hill Ct Apt B,Reston,VA,20191,349900,2,2,Reston,1208,,1986,1,290,350,Pre On-Market,,,http://www.redfin.com/VA/Reston/11713B-Karbon-Hill-Ct-20191/unit-B/home/21729159,Coming Soon,74178,N,Y,38.934358,-77.351977
MLS Listing,,Townhouse,1955 Roland Clarke Pl #29,Reston,VA,20191,959900,4,4.5,SUNRISE SQUARE,2540,,2019,3,378,130,Active,,,http://www.redfin.com/VA/Reston/1955-Roland-Clarke-Pl-20191/unit-29/home/175725063,BRIGHT MLS,VAFX2008522,N,Y,38.9491068,-77.3497828
MLS Listing,,Condo/Co-op,11222 Harbor Ct,Reston,VA,20191,500000,2,2,HARBOR POINT CONDO,1017,,1985,4,492,410,Active,,,http://www.redfin.com/VA/Reston/11222-Harbor-Ct-20191/unit-1222/home/9355995,BRIGHT MLS,VAFX2007510,N,Y,38.938078,-77.331188
MLS Listing,,Townhouse,11940 Sentinel Point Ct,Reston,VA,20191,559000,3,3,RESTON SEC 86 BLK 2,2028,1623,1985,4,276,152,Active,,,http://www.redfin.com/VA/Reston/11940-Sentinel-Point-Ct-20191/home/9355508,BRIGHT MLS,VAFX2003754,N,Y,38.934658,-77.324972
MLS Listing,,Condo/Co-op,2233G Lovedale Ln,Reston,VA,20191,348000,2,2,BRISTOL HOUSE,1232,,1986,4,282,410,Active,,,http://www.redfin.com/VA/Reston/2233G-Lovedale-Ln-20191/unit-2233L/home/143412298,BRIGHT MLS,VAFX2008188,N,Y,38.933115,-77.350671
MLS Listing,,Condo/Co-op,11727 Ledura Ct Unit T1,Reston,VA,20191,319900,2,2,SPRINGWOOD CONDO,1133,,1977,4,282,450,Active,,,http://www.redfin.com/VA/Reston/11727-Ledura-Ct-20191/unit-T1/home/9342513,BRIGHT MLS,VAFX2002878,N,Y,38.9351998,-77.3509857
MLS Listing,,Townhouse,11507 Ivy Bush Ct,Reston,VA,20191,440000,3,3,RESTON SEC 62 BLK 1B,1830,1300,1981,5,240,128,Active,,,http://www.redfin.com/VA/Reston/11507-Ivy-Bush-Ct-20191/home/9340434,BRIGHT MLS,VAFX2008288,N,Y,38.931815,-77.345184
MLS Listing,,Townhouse,2329 Glade Bank Way,Reston,VA,20191,565000,3,2.5,RESTON SEC 48 GLADE COUR,1933,2730,1976,5,292,150,Active,,,http://www.redfin.com/VA/Reston/2329-Glade-Bank-Way-20191/home/9328379,BRIGHT MLS,VAFX2007376,N,Y,38.9313661,-77.3548971
MLS Listing,,Single Family Residential,12392 Copenhagen Ct,Reston,VA,20191,875000,5,3,RESTON,3450,16200,1974,5,254,59,Active,,,http://www.redfin.com/VA/Reston/12392-Copenhagen-Ct-20191/home/9325831,BRIGHT MLS,VAFX2006880,N,Y,38.9310785,-77.3731537
MLS Listing,,Townhouse,2324 Hunters Square Ct,Reston,VA,20191,425000,2,2.5,HUNTERS SQUARE,1692,1008,1983,5,251,90,Active,,,http://www.redfin.com/VA/Reston/2324-Hunters-Square-Ct-20191/home/9333083,BRIGHT MLS,VAFX2008304,N,Y,38.935629,-77.365567
MLS Listing,,Single Family Residential,1868 Post Oak Trl,Reston,VA,20191,775000,4,2.5,RESTON,2203,17658,1977,6,352,60,Active,,,http://www.redfin.com/VA/Reston/1868-Post-Oak-Trl-20191/home/9352567,BRIGHT MLS,VAFX2006818,N,Y,38.9386976,-77.3138429
MLS Listing,,Single Family Residential,2025 Beacon Pl,Reston,VA,20191,949999,3,2.5,RESTON,2788,5566,1994,6,341,189,Active,,,http://www.redfin.com/VA/Reston/2025-Beacon-Pl-20191/home/9354730,BRIGHT MLS,VAFX2006224,N,Y,38.9362489,-77.3277087
MLS Listing,,Townhouse,1974 Roland Clarke Pl,Reston,VA,20191,1020000,3,4,VALLEY AND PARK,2528,1157,2021,8,403,150,Active,,,http://www.redfin.com/VA/Reston/1974-Roland-Clarke-Pl-20191/home/169125407,BRIGHT MLS,VAFX2007478,N,Y,38.9488183,-77.3508795
MLS Listing,,Townhouse,12173 Sanibel Ct,Reston,VA,20191,300000,3,1.5,RESTON SEC 38B BLK 9 SAN,1197,1515,1972,9,251,93,Active,,,http://www.redfin.com/VA/Reston/12173-Sanibel-Ct-20191/home/9325029,BRIGHT MLS,VAFX2004826,N,Y,38.943011,-77.367503
MLS Listing,,Condo/Co-op,1951 Sagewood Ln #110,Reston,VA,20191,129900,1,1,THOREAU PLACE CONDO,649,,1985,10,200,557,Active,,,http://www.redfin.com/VA/Reston/1951-Sagewood-Ln-20191/unit-110/home/9357545,BRIGHT MLS,VAFX2005778,N,Y,38.9396787,-77.3282663
MLS Listing,,Townhouse,2309 Ravensdon,Reston,VA,20191,510000,3,2.5,DEEPWOOD,1400,1400,1972,11,364,140,Active,,,http://www.redfin.com/VA/Reston/2309-Ravensdon-Ct-20191/home/9320715,BRIGHT MLS,VAFX2006930,N,Y,38.932543,-77.356872
MLS Listing,,Condo/Co-op,11603 Stoneview Sq Unit 22C,Reston,VA,20191,270000,3,2,SHADOWOOD,1029,,1974,11,262,499,Active,,,http://www.redfin.com/VA/Reston/11603-Stoneview-Sq-20191/unit-22C/home/143302471,BRIGHT MLS,VAFX2006560,N,Y,38.932245,-77.347581
MLS Listing,,Townhouse,2260 Cedar Cove Ct,Reston,VA,20191,679000,3,3.5,RESTON SEC 70 BLK 1A,2819,2674,1981,11,241,60,Active,,,http://www.redfin.com/VA/Reston/2260-Cedar-Cove-Ct-20191/home/9352296,BRIGHT MLS,VAFX2006810,N,Y,38.929835,-77.335355
MLS Listing,,Single Family Residential,2312 Toddsbury Pl,Reston,VA,20191,662000,5,2.5,STRATTON WOODS,1992,22032,1976,12,332,41,Active,,,http://www.redfin.com/VA/Reston/2312-Toddsbury-Pl-20191/home/9294467,BRIGHT MLS,VAFX2003680,N,Y,38.940326,-77.3776837
MLS Listing,,Condo/Co-op,11661 Stoneview Sq Unit 2B,Reston,VA,20191,215000,2,2,SHADOWOOD CONDO,894,,1974,12,240,433000,Active,,,http://www.redfin.com/VA/Reston/11661-Stoneview-Sq-20191/unit-2B/home/53022200,BRIGHT MLS,VAFX2002680,N,Y,38.932432,-77.349968
MLS Listing,,Townhouse,2082 Whisperwood Glen Ln,Reston,VA,20191,445500,2,2.5,RESTON SEC 76 BLK 2A WHI,1504,950,1983,12,296,90,Active,,,http://www.redfin.com/VA/Reston/2082-Whisperwood-Glen-Ln-20191/home/9344283,BRIGHT MLS,VAFX2004622,N,Y,38.9346,-77.337592
MLS Listing,,Townhouse,11720 Indian Ridge Rd,Reston,VA,20191,600000,3,2.5,INDIAN RIDGE CLUSTER,1736,2862,1972,12,346,133,Active,July-25-2021 02:00 PM,July-25-2021 04:00 PM,http://www.redfin.com/VA/Reston/11720-Indian-Ridge-Rd-20191/home/9237424,BRIGHT MLS,VAFX2001426,N,Y,38.9470262,-77.3523849
MLS Listing,,Townhouse,2382 Branleigh Park Ct,Reston,VA,20191,455000,3,2.5,HUNTERS SQUARE,1570,1400,1982,12,290,92,Active,,,http://www.redfin.com/VA/Reston/2382-Branleigh-Park-Ct-20191/home/9332985,BRIGHT MLS,VAFX2001776,N,Y,38.9369521,-77.3640145
MLS Listing,,Single Family Residential,2207 Burgee Ct,Reston,VA,20191,1750000,5,5.5,RESTON,4593,18941,1980,13,381,60,Active,,,http://www.redfin.com/VA/Reston/2207-Burgee-Ct-20191/home/9360815,BRIGHT MLS,VAFX2005698,N,Y,38.9291763,-77.3316573
MLS Listing,,Condo/Co-op,2229-H Lovedale Ln Unit 309B,Reston,VA,20191,310000,2,2,BRISTOL HOUSE CONDO,930,,1986,19,333,410,Active,,,http://www.redfin.com/VA/Reston/2229H-Lovedale-Ln-20191/unit-309B/home/114035260,BRIGHT MLS,VAFX2003880,N,Y,38.933537,-77.350307
MLS Listing,,Condo/Co-op,1916-A Villaridge Dr Unit 1916A,Reston,VA,20191,220000,1,1,VILLARIDGE CONDO,680,,1985,19,324,348,Active,,,http://www.redfin.com/VA/Reston/1916A-Villaridge-Dr-20191/unit-1916A/home/175591035,BRIGHT MLS,VAFX2003896,N,Y,38.9384014,-77.3261896
MLS Listing,,Condo/Co-op,11770 Sunrise Valley Dr #217,Reston,VA,20191,328000,2,2,MERCER A CONDO,917,,2006,21,358,565,Active,,,http://www.redfin.com/VA/Reston/11770-Sunrise-Valley-Dr-20191/unit-217/home/12074740,BRIGHT MLS,VAFX2004138,N,Y,38.9493424,-77.3528181
MLS Listing,,Single Family Residential,2233 Sanibel Dr,Reston,VA,20191,489000,4,3,RESTON,2880,5699,1974,22,170,60,Active,,,http://www.redfin.com/VA/Reston/2233-Sanibel-Dr-20191/home/9324577,BRIGHT MLS,VAFX2004048,N,Y,38.944086,-77.36963
MLS Listing,,Townhouse,12131 Captiva Ct,Reston,VA,20191,399000,3,2.5,RESTON SEC 38B BLK 9 SAN,1805,,1972,25,221,146,Active,,,http://www.redfin.com/VA/Reston/12131-Captiva-Ct-20191/home/9324930,BRIGHT MLS,VAFX2003332,N,Y,38.942717,-77.366271
MLS Listing,,Townhouse,1969 Roland Clarke Pl,Reston,VA,20191,999900,4,4.5,SUNRISE SQUARE,2836,1502,2018,25,353,130,Active,,,http://www.redfin.com/VA/Reston/1969-Roland-Clarke-Pl-20191/home/146095210,BRIGHT MLS,VAFX2003458,N,Y,38.9490722,-77.350257
MLS Listing,,Townhouse,11507 Hearthstone Ct,Reston,VA,20191,549000,3,3,RESTON SEC 56 BLK 1 SOAP,2212,1650,1972,27,248,141,Active,,,http://www.redfin.com/VA/Reston/11507-Hearthstone-Ct-20191/home/9350992,BRIGHT MLS,VAFX1208312,N,Y,38.928852,-77.342777
MLS Listing,,Condo/Co-op,11112 Harbor Ct,Reston,VA,20191,549900,2,2.5,HARBOR POINT CONDO,1380,,1981,27,398,534,Active,,,http://www.redfin.com/VA/Reston/11112-Harbor-Ct-20191/unit-1112/home/9355794,BRIGHT MLS,VAFX2002184,N,Y,38.937025,-77.3309419
MLS Listing,,Condo/Co-op,11643 Stoneview Sq Unit 2B,Reston,VA,20191,219900,2,2,SHADOWOOD CONDO,894,,1974,28,246,498,Active,,,http://www.redfin.com/VA/Reston/11643-Stoneview-Sq-20191/unit-2B/home/12060751,BRIGHT MLS,VAFX1204218,N,Y,38.932054,-77.348885
MLS Listing,,Townhouse,2314 Southgate Sq,Reston,VA,20191,369950,3,1.5,SOUTHGATE SQUARE CLUSTER,1262,1494,1972,32,293,42,Active,,,http://www.redfin.com/VA/Reston/2314-Southgate-Sq-20191/home/9323187,BRIGHT MLS,VAFX2001702,N,Y,38.9423002,-77.3642837
MLS Listing,,Condo/Co-op,2233 Castle Rock Sq Unit 2B,Reston,VA,20191,219000,2,2,SHADOWOOD CONDO,894,,1974,32,245,492,Active,,,http://www.redfin.com/VA/Reston/2233-Castle-Rock-Sq-20191/unit-2B/home/9338288,BRIGHT MLS,VAFX2001812,N,Y,38.9339749,-77.347979
MLS Listing,,Single Family Residential,2539 Donns Way,Oakton,VA,22124,2200000,6,7.5,BRIDGES OF OAKTON,11950,91029,2001,33,184,69,Active,,,http://www.redfin.com/VA/Vienna/2539-Donns-Way-22124/home/9830621,BRIGHT MLS,VAFX1209082,N,Y,38.9141581,-77.3391277
MLS Listing,,Townhouse,2051 Whisperwood Glen Ln,Reston,VA,20191,375000,2,1.5,RESTON,950,1027,1983,33,395,90,Active,,,http://www.redfin.com/VA/Reston/2051-Whisperwood-Glen-Ln-20191/home/9344196,BRIGHT MLS,VAFX1208818,N,Y,38.934996,-77.336622
MLS Listing,,Townhouse,11601 Hunters Green Ct,Reston,VA,20191,550000,4,2.5,INDIAN RIDGE CLUSTER,2260,2936,1972,34,243,196,Active,,,http://www.redfin.com/VA/Reston/11601-Hunters-Green-Ct-20191/home/9237016,BRIGHT MLS,VAFX1205726,N,Y,38.9451099,-77.3480355
MLS Listing,,Single Family Residential,12277 Turkey Wing Ct,Reston,VA,20191,424999,3,1,RESTON,1120,3993,1975,37,379,83,Active,,,http://www.redfin.com/VA/Reston/12277-Turkey-Wing-Ct-20191/home/9232650,BRIGHT MLS,VAFX1208902,N,Y,38.9457427,-77.3743647
MLS Listing,,Condo/Co-op,2033 Royal Fern Ct Unit 1C,Reston,VA,20191,319999,3,2,SOUTHGATE CONDO,1313,,1973,39,244,461,Active,,,http://www.redfin.com/VA/Reston/2033-Royal-Fern-Ct-20191/unit-1C/home/113439121,BRIGHT MLS,VAFX1208124,N,Y,38.9428,-77.35905
MLS Listing,,Townhouse,2222 Gunsmith Sq,Reston,VA,20191,399990,3,1.5,RESTON SEC 50 BLK 5,1232,1276,1976,39,325,111,Active,,,http://www.redfin.com/VA/Reston/2222-Gunsmith-Sq-20191/home/9329533,BRIGHT MLS,VAFX1208200,N,Y,38.9363979,-77.354733
MLS Listing,,Single Family Residential,2415 Black Cap Ln,Reston,VA,20191,948000,5,3.5,RESTON,4847,19280,1969,39,196,50,Active,,,http://www.redfin.com/VA/Reston/2415-Black-Cap-Ln-20191/home/9348999,BRIGHT MLS,VAFX1203006,N,Y,38.9270154,-77.3525643
MLS Listing,,Townhouse,2120 Green Watch Way #101,Reston,VA,20191,350000,2,2,WOODWINDS CONDO,1220,,1974,39,287,477,Active,,,http://www.redfin.com/VA/Reston/2120-Green-Watch-Way-20191/unit-101/home/142355347,BRIGHT MLS,VAFX1208646,N,Y,38.9353705,-77.3478538
MLS Listing,,Condo/Co-op,11220 Beaver Trail Ct,Reston,VA,20191,379900,2,2.5,DOCKSIDE CONDO,1120,,1983,40,339,439,Active,,,http://www.redfin.com/VA/Reston/11220-Beaver-Trail-Ct-20191/unit-7/home/9356155,BRIGHT MLS,VAFX1207650,N,Y,38.9337779,-77.330489
MLS Listing,,Single Family Residential,12254 Turkey Wing Ct,Reston,VA,20191,450000,4,2,RESTON,1290,3773,1975,42,349,83,Active,,,http://www.redfin.com/VA/Reston/12254-Turkey-Wing-Ct-20191/home/9325720,BRIGHT MLS,VAFX1208062,N,Y,38.9440097,-77.3735797
MLS Listing,,Townhouse,11914 Saint Johnsbury Ct,Reston,VA,20191,530000,4,3.5,DEEPWOOD BLK D,2376,2275,1972,53,223,140,Active,,,http://www.redfin.com/VA/Reston/11914-St-Johnsbury-Ct-20191/home/9320605,BRIGHT MLS,VAFX1201334,N,Y,38.9320125,-77.3570391
MLS Listing,,Single Family Residential,2342 Bedfordshire Cir,Reston,VA,20191,679000,4,2.5,STRATTON WOODS,2800,20000,1977,54,243,33,Active,,,http://www.redfin.com/VA/Reston/2342-Bedfordshire-Cir-20191/home/9294018,BRIGHT MLS,VAFX1205220,N,Y,38.9404386,-77.380913
MLS Listing,,Single Family Residential,2274 Marginella Dr,Reston,VA,20191,440000,4,2,RESTON,1540,3448,1975,58,286,110,Active,,,http://www.redfin.com/VA/Reston/2274-Marginella-Dr-20191/home/9232695,BRIGHT MLS,VAFX1203878,N,Y,38.945231,-77.3738153
MLS Listing,,Single Family Residential,2506 Coulter Ln,Oakton,VA,22124,2279000,6,5.5,OAKTON HOLLOWS,7232,75057,2006,60,315,70,Active,,,http://www.redfin.com/VA/Oakton/2506-Coulter-Ln-22124/home/17112971,BRIGHT MLS,VAFX1199554,N,Y,38.914883,-77.333729
MLS Listing,,Townhouse,11872 Saint Trinians Ct,Reston,VA,20191,495525,3,2.5,DEEPWOOD BLK D,1650,1400,1973,62,300,140,Active,,,http://www.redfin.com/VA/Reston/11872-St-Trinians-Ct-20191/home/9319383,BRIGHT MLS,VAFX1202400,N,Y,38.931395,-77.355813
