SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,400 Hillstone Dr,Raleigh,NC,27615,334900,3,1.5,Six Forks North,1207,11325,1980,1,277,,Active,,,http://www.redfin.com/NC/Raleigh/400-Hillstone-Dr-27615/home/41140745,TMLS,2413476,N,Y,35.8872855,-78.6516421
MLS Listing,,Townhouse,509 W Lenoir St,Raleigh,NC,27601,574900,2,2.5,Wake,1323,871,2018,1,435,214,Active,,,http://www.redfin.com/NC/Raleigh/509-W-Lenoir-St-27601/home/142125324,TMLS,2413475,N,Y,35.7730078,-78.6468675
MLS Listing,,Single Family Residential,402 Cole St,Raleigh,NC,27605,695000,2,2,Wake,1881,9583,1926,2,369,,Active,October-16-2021 01:00 PM,October-16-2021 04:00 PM,http://www.redfin.com/NC/Raleigh/402-Cole-St-27605/home/41068916,TMLS,2413058,N,Y,35.79708,-78.6440626
MLS Listing,,Single Family Residential,3745 Westbury Lake Dr,Raleigh,NC,27603,850000,4,3.5,Westbury,4131,26571,2005,48,206,42,Active,,,http://www.redfin.com/NC/Raleigh/3745-Westbury-Lake-Dr-27603/home/41290566,TMLS,2404323,N,Y,35.6651757,-78.7087133
MLS Listing,,Townhouse,5423 Pine Top Cir,Raleigh,NC,27612,250000,3,2.5,Ridgeloch Townes,1413,1742,1983,1,177,215,Active,,,http://www.redfin.com/NC/Raleigh/5423-Pine-Top-Cir-27612/home/41147132,TMLS,2413546,N,Y,35.8540059,-78.6671205
MLS Listing,,Single Family Residential,2224 Leadenhall Way,Raleigh,NC,27603,325000,3,2,Trailwood Springs,1861,6534,1995,1,175,28,Active,,,http://www.redfin.com/NC/Raleigh/2224-Leadenhall-Way-27603/home/41206103,TMLS,2413543,N,Y,35.7480171,-78.6866951
MLS Listing,,Townhouse,3722 Carnegie Ln,Raleigh,NC,27612-9999,320000,2,2,Carnegie Park,1712,1742,1992,1,187,,Active,,,http://www.redfin.com/NC/Raleigh/3722-Carnegie-Ln-27612/home/41192629,TMLS,2413540,N,Y,35.8347994,-78.693352
MLS Listing,,Single Family Residential,5320 Fairmead Cir,Raleigh,NC,27613,389900,3,2.5,Harrington Grove,1805,13503,1992,1,216,20,Active,,,http://www.redfin.com/NC/Raleigh/5320-Fairmead-Cir-27613/home/41171396,TMLS,2413524,N,Y,35.9203429,-78.746226
MLS Listing,,Multi-Family (2-4 Unit),646 Coleman Dr Unit 100 - 101,Raleigh,NC,27610,359900,3,5,Quarry Hills,,6098,2006,1,,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/646-Coleman-St-27610/unit-100-101/home/176725109,TMLS,2413521,N,Y,35.7706783,-78.6226952
MLS Listing,,Single Family Residential,2824 Crystal Oaks Ln,Raleigh,NC,27614,595000,4,3.5,Wakefield,3496,15681,2002,1,170,23,Active,,,http://www.redfin.com/NC/Raleigh/2824-Crystal-Oaks-Ln-27614/home/41253361,TMLS,2413505,N,Y,35.9469579,-78.5573458
MLS Listing,,Single Family Residential,6221 Old Miravalle Ct Lot 4,Raleigh,NC,27614,1195000,4,3.5,Wake,3784,55843,2021,1,316,195,Active,,,http://www.redfin.com/NC/Raleigh/6221-Old-Miravalle-Ct-27614/unit-4/home/176588538,TMLS,2413502,N,Y,35.9529446,-78.6737079
MLS Listing,,Vacant Land,6301 Stancil Farm Rd,Raleigh,NC,27603,2346030,,,Wake,,1858269,,1,,,Active,,,http://www.redfin.com/NC/Raleigh/6301-Stancil-Farm-Rd-27603/home/176724836,TMLS,2413498,N,Y,35.6176623,-78.6136055
